molecule_chembl_id,canonical_smiles,standard_value
CHEMBL365065,c1ccc(-c2nnn(-c3cccc(Oc4cccnc4)c3)n2)nc1,30.0
CHEMBL186917,c1ccc(-c2nnn(-c3ccccc3Oc3cccnc3)n2)nc1,1577.0
CHEMBL186089,c1ccc(-c2nnn(-c3ccc(Oc4cccnc4)cc3)n2)nc1,737.0
CHEMBL187107,N#Cc1cc(F)cc(-n2nnc(-c3ccccn3)n2)c1,3.9
CHEMBL186151,Fc1cc(Oc2cccnc2)cc(-n2nnc(-c3ccccn3)n2)c1,6.7
CHEMBL184047,Fc1cc(Sc2cccnc2)cc(-n2nnc(-c3ccccn3)n2)c1,13.0
CHEMBL362724,Fc1cc(Cc2cccnc2)cc(-n2nnc(-c3ccccn3)n2)c1,17.0
CHEMBL366333,Fc1cc(Nc2cccnc2)cc(-n2nnc(-c3ccccn3)n2)c1,124.0
CHEMBL363488,CN(c1cccnc1)c1cc(F)cc(-n2nnc(-c3ccccn3)n2)c1,22.0
CHEMBL185946,Fc1cc(-n2nnc(-c3ccccn3)n2)cc(-n2ccc3ccncc32)c1,16.0
CHEMBL189389,N#Cc1cccc(-n2cc(-c3ccccn3)cn2)c1,140.0
CHEMBL363882,N#Cc1cccc(-c2cn(-c3ccccn3)cn2)c1,10000.0
CHEMBL363883,N#Cc1cccc(-n2cnc(-c3ccccn3)c2)c1,1150.0
CHEMBL186220,N#Cc1cccc(-c2cn(-c3ccccn3)nn2)c1,10000.0
CHEMBL186331,N#Cc1cccc(-n2cc(-c3ccccn3)nn2)c1,980.0
CHEMBL186666,N#Cc1cccc(-c2cnn(-c3ccccn3)n2)c1,210.0
CHEMBL186835,N#Cc1cccc(-n2ncc(-c3ccccn3)n2)c1,80.0
CHEMBL189572,N#Cc1cccc(-c2ncn(-c3ccccn3)n2)c1,6150.0
CHEMBL189808,N#Cc1cccc(-n2cnc(-c3ccccn3)n2)c1,690.0
CHEMBL366288,N#Cc1cccc(-c2nnn(-c3ccccn3)n2)c1,270.0
CHEMBL443487,C(#Cc1ccccn1)C1=CCCC1,3.1
CHEMBL196643,C(#Cc1ccccn1)C1=CCCCC1,2.4
CHEMBL195965,C(#CC1CCCCC1)c1ccccn1,106.0
CHEMBL196343,C(#Cc1ccccn1)C1=CC(Sc2ccc3ccccc3c2)CCC1,213.0
CHEMBL2113099,O=C1c2ccccc2C(=O)N1C1C=C(C#Cc2ccccn2)CCC1,27.0
CHEMBL196054,C(#Cc1ccccn1)C1=CC(Sc2ccncc2)CCC1,22.0
CHEMBL194246,C(#Cc1ccccn1)C1=CC(Oc2ccncc2)CCC1,16.0
CHEMBL197212,C(#Cc1ccccn1)C1=CC(Nc2cccnc2)CCC1,8.6
CHEMBL426467,C(#Cc1ccccn1)C1=CC(Oc2cccnc2)CCC1,2.2
CHEMBL381192,Clc1cncc(OC2C=C(C#Cc3ccccn3)CCC2)c1,0.9
CHEMBL370879,C(#Cc1ccccn1)C1=CCC(Nc2ccc3ccccc3c2)CC1,306.0
CHEMBL196674,C(#Cc1ccccn1)C1=CCC(NC2CCCC2)CC1,987.0
CHEMBL2113100,C(#Cc1ccccn1)C1=CC(N2CCOCC2)CCC1,164.0
CHEMBL194407,C(#Cc1ccccn1)C1=CCC(Nc2cccnc2)CC1,12.6
CHEMBL196574,CC(C)(C)OC(=O)N1CC=C(C#Cc2ccccn2)CC1,2.6
CHEMBL364709,C(#Cc1ccccn1)C1=CCNCC1,580.0
CHEMBL196224,O=C(Oc1ccccc1)N1CC=C(C#Cc2ccccn2)CC1,35.0
CHEMBL194197,O=C(OCc1ccccc1)N1CC=C(C#Cc2ccccn2)CC1,12.0
CHEMBL370752,O=S(=O)(Cc1ccccc1)N1CC=C(C#Cc2ccccn2)CC1,58.0
CHEMBL195944,Cc1cccc(S(=O)(=O)N2CC=C(C#Cc3ccccn3)CC2)c1,8.2
CHEMBL194538,Cc1ccc(S(=O)(=O)N2CC=C(C#Cc3ccccn3)CC2)cc1,7.9
CHEMBL197724,O=S(=O)(c1ccc(Br)cc1)N1CC=C(C#Cc2ccccn2)CC1,2.2
CHEMBL426826,CCOc1cccnc1Nc1cccc(C)n1,40.0
CHEMBL194743,CCOc1cccnc1Nc1ccccn1,138.0
CHEMBL195932,CCOc1cccnc1Nc1cccc(OC)n1,556.0
CHEMBL195019,CCOc1cccnc1Nc1cccc(C(F)(F)F)n1,1900.0
CHEMBL196203,CCOc1cccnc1Nc1cccc(C(=O)OC)n1,6200.0
CHEMBL196536,COc1cccnc1Nc1cccc(C)n1,458.0
CHEMBL197954,CCCOc1cccnc1Nc1cccc(C)n1,1600.0
CHEMBL199047,Cc1cccc(Nc2ncccc2OC(C)C)n1,1000.0
CHEMBL197927,Cc1cccc(Nc2ncccc2OCc2ccccc2)n1,870.0
CHEMBL198305,CSc1cccnc1Nc1cccc(C)n1,790.0
CHEMBL198757,CCNc1cccnc1Nc1cccc(C)n1,3000.0
CHEMBL198824,CCCc1cccnc1Nc1cccc(C)n1,394.0
CHEMBL425385,CCOc1nccnc1Nc1cccc(C)n1,497.0
CHEMBL198866,CCOc1c(C)ccnc1Nc1cccc(C)n1,2700.0
CHEMBL373045,CCOc1cc(Br)cnc1Nc1cccc(C)n1,47.0
CHEMBL198715,CCOc1cc(Cl)cnc1Nc1cccc(C)n1,17.0
CHEMBL198093,CCOc1cc(C#N)cnc1Nc1cccc(C)n1,46.0
CHEMBL198209,CCOc1cc(C)cnc1Nc1cccc(C)n1,119.0
CHEMBL199193,CCOc1cc(-c2ccccc2)cnc1Nc1cccc(C)n1,267.0
CHEMBL198272,CCOc1cc(-c2ccccc2C#N)cnc1Nc1cccc(C)n1,37.0
CHEMBL370784,CCOc1cc(-c2cccc(F)c2)cnc1Nc1cccc(C)n1,126.0
CHEMBL198145,CCOc1cc(-c2ccc(C)cc2)cnc1Nc1cccc(C)n1,513.0
CHEMBL198428,CCOc1cc(-c2ccsn2)cnc1Nc1cccc(C)n1,243.0
CHEMBL382715,CCOc1cc(-c2ccccn2)cnc1Nc1cccc(C)n1,193.0
CHEMBL194507,CCOc1cc(-c2cccnc2)cnc1Nc1cccc(C)n1,12.0
CHEMBL194508,CCOc1cc(-c2cncnc2)cnc1Nc1cccc(C)n1,36.0
CHEMBL366242,CCOc1cc(Oc2cccnc2)cnc1Nc1cccc(C)n1,18.0
CHEMBL197692,CCOc1cc(-c2cnccc2C)cnc1Nc1cccc(C)n1,45.0
CHEMBL198180,CCOc1cc(-c2cccnc2C#N)cnc1Nc1cccc(C)n1,80.0
CHEMBL202323,Cc1nc(C#Cc2cccc(F)c2)cs1,23.0
CHEMBL202130,Cc1nc(C#Cc2cccnc2)co1,10000.0
CHEMBL373161,Cc1nc(C(=O)Nc2cccc(F)c2)cs1,10000.0
CHEMBL202075,Cc1nc(C(=O)Nc2cccnc2)cs1,10000.0
CHEMBL382527,Cc1nc(/C=C/c2cccnc2)cs1,3090.0
CHEMBL380710,C#Cc1ncccc1C#Cc1csc(C)n1,192.0
CHEMBL383771,Cc1nc(C#Cc2cccnc2Cl)cs1,45.5
CHEMBL202523,Cc1nc(C#Cc2cccnc2OS(C)(=O)=O)cs1,10000.0
CHEMBL372511,COc1ncccc1C#Cc1csc(C)n1,228.0
CHEMBL377273,C=Cc1ccc(C#Cc2csc(C)n2)cn1,10000.0
